customerID	atm_trn_cnt_1	atm_trn_cnt	bt_trn_cnt_1	bt_trn_cnt	chq_trn_cnt_1	chq_trn_cnt	cc_trn_cnt_1	cc_trn_cnt	elt_trn_cnt_1	elt_trn_cnt	ht_trn_cnt_1	ht_trn_cnt	it_trn_cnt	it_trn_cnt_1	pos_trn_cnt_1	pos_trn_cnt	trd_trn_cnt_1	trd_trn_cnt	cc_clos	acc_credit	acc_funds	arrear_ind	cc_appr_amt	cc_avg_bal	cc_avg_bal_1	cc_min_bal	chq_acc_ind	cust_age	days_brtday	cc_ea_open_mth	sa_ea_open_mth	tr_ea_open_mth	enq_trn_cnt	equity_amt	gender	recency	fol_l_clos_mth	fol_l_open_mth	reject	sa_la_clos_mth	sa_la_open_mth	tr_la_clos_mth	tr_la_open_mth	cust_class	dep_max_amt	ch_addr	ch_marital	npv_savings	npv_trans	depos_count	joint_acc_cnt	prod_count	sav_acc_count	tra_acc_count	wthdr_count	avg_bal	title	eqity_secur	rel_age	sav_avg_bal_1	sav_avg_bal	avg_bal_1	npv_total	tra_avg_bal_1	tra_avg_bal	tr_min_bal	tra_auth_no	tra_auth_yes	call_enq_cnt	call_trn_cnt_1	call_trn_cnt	Change_In_ATM_TR
3764517	5	23	14	1	0	0	0	0	12	31	0	0	0	0	10	8	14	1	0	500	6574.2	N	2000	0.4	0	0.4	N	0	-1	22	-1	101	0	0.4	F	22	-1	-1	-1	-1	-1	-1	87	23	235.8	-1	-1	0	498.65	2	1	2	0	2	33	7219.38	MS	0	99	0	0	7236	468.37	7235	7218.98	6067.53	-1	-1	0	0	0	360
4440112	10	5	10	2	0	0	11	0	10	6	0	0	0	0	10	1	10	2	0	3000	3170.42	N	3000	0.99	18	0.99	N	36	22	141	-1	98	0	0.99	F	21	-1	-1	-1	-1	-1	-1	21	3	371.9	5	-1	0	-383.82	3	1	2	0	2	8	235.25	MRS	0	138	0	0	253	-395.25	254	234.26	87.78	-1	-1	0	0	0	-50
2267213	0	0	14	1	0	0	16	10	16	10	10	5	0	0	0	0	14	1	0	2000	2000	N	2000	-1795.43	-1791	-483.36	N	32	312	84	-1	-1	5	-2203.11	M	84	-1	-1	-1	-1	-1	-1	-1	18	1441.16	-1	-1	0	0	1	0	1	0	0	10	-1795.43	MR	0	82	0	0	-1791	38	0	0	0	-1	-1	1	10	0	
4488910	16	6	10	1	9	1	10	1	13	7	18	38	4	10	0	0	5	2	0	67000	67478.39	N	2000	-58.91	-77	0	Y	49	209	16	-1	41	33	121290.31	F	16	-1	41	-1	-1	-1	-1	41	0	692.1	-1	-1	0	-226.2	4	0	3	0	1	11	-40253.18	MISS	0.75	139	0	0	-40232	-142.88	568	561.63	284.96	-1	-1	0	0	0	-62.5
2150617	0	0	18	2	0	0	10	0	10	0	0	0	0	0	0	0	18	2	0	7500	7613.03	N	2000	-1715.46	-1717	-1704.89	N	34	240	11	-1	20	0	-4820.82	M	11	84	20	-1	-1	-1	-1	20	26	100	-1	-1	0	-253.31	2	1	3	0	1	0	-4751.89	MR	0	19	0	0	-4745	-166.96	172	193.23	109.03	-1	-1	0	0	0	
3728612	16	13	10	2	0	0	0	0	37	23	0	0	0	0	23	9	10	2	0	0	16.96	N	2000	0	0	0	N	19	2	6	50	50	0	0	M	6	-1	-1	4	18	50	-1	44	19	340.4	6	6	0	-434.5	5	0	1	0	2	23	153.95	MR	0	49	0	0	156	-434.5	156	153.95	2.01	-1	-1	0	0	0	-18.75
472816	10	3	10	4	0	0	10	29	15	34	0	0	0	0	10	2	10	4	0	5000	15311.99	N	5000	-2689.96	-2706	-580.35	N	39	2	6	-1	29	0	-2988.87	F	6	8	22	-1	-1	-1	-1	29	21	10000	-1	-1	0	685.86	4	1	2	0	1	37	1251.21	UNKNOWN	0	28	0	0	1244	1274.72	3945	3941.17	283.42	-1	-1	0	0	0	-70
3389311	9	0	10	3	0	0	15	10	15	12	10	3	0	0	10	0	10	3	0	8800	8800	Y	2000	-2367.34	-2383	-2260.71	N	39	342	43	-1	62	3	-4572.7	F	28	28	28	61	-1	-1	-1	62	8	711.43	-1	-1	0	-208.3	5	0	3	0	1	10	-4603.07	MS	0	60	0	0	-4605	9.2	-6	-2.67	-23.61	-1	-1	0	0	0	-100
1710916	0	0	10	6	0	0	10	3	10	5	0	0	0	0	10	2	10	6	0	4000	4524.85	N	4000	-147.94	-135	0.3	N	55	125	84	-1	80	0	-563.65	F	80	-1	-1	-1	-1	-1	-1	80	0	28000	-1	-1	0	23.52	7	1	2	0	1	10	1670.11	UNKNOWN	0	83	0	0	1689	12.09	1833	1818.05	-2.46	-1	-1	0	0	0	
2629212	10	0	10	1	0	0	10	10	10	10	0	0	0	0	0	0	10	1	0	4000	4000	N	4000	-3634.7	-3616	-3394.15	N	0	-1	160	-1	-1	0	-3682.57	M	160	-1	-1	-1	-1	-1	-1	-1	0	200	-1	-1	0	0	1	0	1	0	0	10	-3634.7	MR	0	157	0	0	-3616	302	0	0	0	-1	-1	0	0	0	-100
