SEGM_DATE	CLIENT_ID	AVG_MG	MIN_MG	MAX_MG	COUNT_TR	SUM_TR_TOTAL	SUM_TR	RECENTY	AVG_SKU	AVG_COUNT_TR	MIN_COUNT_TR	MAX_COUNT_TR	AVG_SUM_TR_TOTAL	AVG_SUM_TR	AVG_LATENCY	MIN_LATENCY	MAX_LATENCY	NP_AMOUNT	NP_SUM	PR_AMOUNT	PR_SUM	AL_AMOUNT	AL_SUM	OTHER_SUM	FAVORITE_STORE	SUM_MG	D_TRANS	AVG_BILL	SEGMENT_ID	DISTANCE	SUM_TR_TOTAL_BASE_DIST	SUM_TR_TOTAL_ETALON_DIST	SUM_TR_TOTAL_DIST_TYPE	AVG_BILL_BASE_DIST	AVG_BILL_ETALON_DIST	AVG_BILL_DIST_TYPE	AVG_COUNT_TR_BASE_DIST	AVG_COUNT_TR_ETALON_DIST	AVG_COUNT_TR_DIST_TYPE	D_TRANS_BASE_DIST	D_TRANS_ETALON_DIST	D_TRANS_DIST_TYPE	AVG_MG_BASE_DIST	AVG_MG_ETALON_DIST	AVG_MG_DIST_TYPE	SUM_MG_BASE_DIST	SUM_MG_ETALON_DIST	SUM_MG_DIST_TYPE	GROUP_CHANGE_RESULT	PROFIT_GROUP_ID	CHANGE_PROFIT_GROUP_ID	CHANGE_SEGMENT_ID	PVAL_GROUP_CHANGE0	PVAL_GROUP_CHANGE1	PVAL_GROUP_CHANGE_1	MODIFY_DATE	_SEGMENT_	_SEGMENT_LABEL_	EM_SEGMENT
01MAR2012:00:00:00	1-ET-1502	4	4	4	1	3214.5	3316.62	13	5	0.33	0	1	1071.5	1105.54				3	2685.2	1	529.3	0	0	0	10	4	1	3214.5	11	0.1002588248	-243.3806639	1587	Pre_Etalon	-1504.761454	-651.5	Etalon	0.3194612345	0.67	Pre_Base	-0.011409157	0	Etalon	0.2598615376	2.5	Pre_Base	2.6018821255	6	Pre_Base								18APR2014:15:43:32.045877	2	Cluster11	11
01APR2012:00:00:00	1-ET-1502	6.25	1	19	4	13764	14673.23	10	10.5	1.33	0	3	4588	4891.08	11	3	16	4	5356.9	18	8407.1	0	0	0	10	22	0.75	3441	9	0.0818862448	-3877.549228	347	Pre_Etalon	-1447.046638	-616.5	Etalon	0.4515119931	1	Pre_Base	-0.012783258	-0.083333333	Etalon	-0.302016436	1.75	Pre_Etalon	-2.949087994	3	Pre_Etalon	0	4	4	9	0.6163522013	0.0624438455	0.3212039533	18APR2014:18:11:24.215456	4	Cluster9	9
01MAY2012:00:00:00	1-ET-1502	6.83	1	19	6	23889	25500.05	25	11.5	2	1	3	7963	8500.02	9.8	0	16	5	10233.49	24	13655.51	0	0	0	29	29	0.3333333333	3981.5	6	0.1825421721	-2448.706457	6007	Pre_Etalon	-1750.192546	-909.4333333	Etalon	1.592761442	3	Pre_Base	-0.12739481	-0.222222222	Etalon	0.3638191104	2.17	Pre_Base	2.0567263351	9	Pre_Base	0	3	3	6	0.6241758242	0.3727810651	0.0030431107	18APR2014:18:53:16.228328	6	Cluster6	6
01JUN2012:00:00:00	1-ET-1502	6.29	1	19	7	25101.5	26749.93	8	10.86	2.33	2	3	8367.17	8916.64	13.83	0	42	5	7548.29	25	17553.21	0	0	0	29	30	0.1428571429	3585.9285714	6	0.1325918395	-3930.126988	4372.5	Pre_Etalon	-1382.206763	-574.5535714	Etalon	1.2610877122	2.67	Pre_Base	0.0653656084	-0.025210084	Pre_Base	0.8890664517	2.71	Pre_Base	1.0977883017	8	Pre_Base	0	3	3	6	0.6923613533	0.3010115103	0.0066271364	18APR2014:19:26:16.159281	6	Cluster6	6
01JUL2012:00:00:00	1-ET-1502	10.6	1	30	5	32506	34514.59	10	20.8	1.67	1	2	10835.33	11504.86	19	0	42	6	8005.79	30	24500.21	0	0	0	29	36	0.2	6501.2	6	0.2994712255	-11665.09052	-3542	Etalon	-4326.085563	-3546.5	Etalon	1.9168192663	3.33	Pre_Base	0.0082569148	-0.088888889	Pre_Base	-3.42498807	-1.6	Etalon	-4.875882295	2	Pre_Etalon	0	3	3	6	0.884269279	0.0945437977	0.0211869233	18APR2014:19:57:46.356046	6	Cluster6	6
01AUG2012:00:00:00	1-ET-1502	7	2	30	9	33490.5	35676.88	0	12.22	3	1	6	11163.5	11892.29	9.38	0	30	6	5912.35	35	27578.15	0	0	0	10	41	0.5555555556	3721.1666667	7	0.1756421229	-12643.37917	-4107.5	Etalon	-593.0028793	483	Pre_Etalon	-0.394509332	1	Pre_Etalon	0.0000744086	-0.055555556	Pre_Base	2.3062384083	4.5	Pre_Base	-8.848456392	-1	Etalon	0	3	3	7	0.7743914911	0.0293516056	0.1962569033	19APR2014:17:51:07.138602	8	Cluster7	7
01SEP2012:00:00:00	1-ET-1502	7.38	2	30	8	30431	32478.28	10	12.88	2.67	1	6	10143.67	10826.09	8.71	0	30	6	6067.35	34	24363.65	0	0	0	25	40	0.625	3803.875	7	0.1698665501	-9914.267629	-1768	Etalon	-577.0511228	500.91071429	Pre_Etalon	-0.196173924	1	Pre_Etalon	-0.073075706	-0.125	Etalon	2.0404678253	4.19	Pre_Base	-8.409082415	-1	Etalon	0	3	3	7	0.7743914911	0.0293516056	0.1962569033	19APR2014:18:25:45.367656	8	Cluster7	7
01NOV2012:00:00:00	1-ET-1502	3.5	2	6	6	10446	10800.46	0	4.83	2	0	5	3482	3600.15	14.4	4	50	2	1521.33	13	8924.67	0	0	0	25	15	0.8333333333	1741	9	0.1722729233	230.7693196	4761	Pre_Base	436.67432648	1307	Pre_Base	-0.232444911	0.33	Pre_Etalon	-0.098870287	-0.166666667	Etalon	2.3827210471	4.5	Pre_Base	3.8602750318	10	Pre_Base	1	4	3	7	0.458626547	0.5251152633	0.0162581898	20APR2014:10:28:44.904630	4	Cluster9	9
01DEC2012:00:00:00	1-ET-1502	3.14	1	6	7	13560.5	14349.06	17	4.14	2.33	0	5	4520.17	4783.02	5.5	1	10	3	4361.33	15	9199.17	0	0	0	25	18	0.7142857143	1937.2142857	9	0.1687727645	-2909.318652	1600.5	Pre_Etalon	255.91105858	1135.2857143	Pre_Base	-0.589253568	0	Etalon	0.0208534481	-0.047619048	Pre_Base	2.7913207873	4.86	Pre_Base	0.8884668508	7	Pre_Base	0	4	4	9	0.6163522013	0.0624438455	0.3212039533	20APR2014:11:07:29.240365	4	Cluster9	9
01JAN2013:00:00:00	1-ET-1502	3.14	1	6	7	13560.5	14349.06	48	4.14	2.33	0	5	4520.17	4783.02	5.5	1	10	3	4361.33	15	9199.17	0	0	0	25	18	0.7142857143	1937.2142857	9	0.1687727645	-3442.243689	974.75	Pre_Etalon	133.74071332	979.76904762	Pre_Base	-0.583210147	0	Etalon	0.022335466	-0.047619048	Pre_Base	2.8269311041	4.86	Pre_Base	0.8803689824	7	Pre_Base	1	4	3	7	0.3452571064	0.6406898754	0.0140530182	20APR2014:11:47:53.545764	4	Cluster9	9
01FEB2013:00:00:00	1-ET-1502	2	1	3	2	4482	4916.5	78	2.5	0.67	0	2	1494	1638.83	10	10	10	2	2995	2	1487	0	0	0	25	4	1	2241	11	0.1038360876	-1629.598097	128.5	Pre_Etalon	-415.0858021	506.25	Pre_Etalon	-0.102561429	0	Etalon	-0.009893881	0	Etalon	2.1820282299	4.5	Pre_Base	1.9451821979	5	Pre_Base	0	5	5	11	0.7869500373		0.2130499627	20APR2014:12:42:49.175569	2	Cluster11	11
01MAR2013:00:00:00	1-ET-1502	3	3	3	1	1263.5	1344.5	24	4	0.33	0	1	421.17	448.17				1	705.95	2	557.55	0	0	0	20	3	1	1263.5	11	0.071597439	1609.8903771	3350.5	Pre_Base	558.48483479	1490	Pre_Base	0.2413180831	0.34	Pre_Base	-0.009787906	0	Etalon	1.160896116	3.5	Pre_Base	2.9723295631	6	Pre_Base	0	5	5	11	0.6463369282		0.3536630718	21APR2014:16:11:41.573875	2	Cluster11	11
01APR2013:00:00:00	1-ET-1502	2.5	1	3	4	9362	9878.08	1	3	1.33	0	3	3120.67	3292.69	17.67	7	33	2	5113.07	5	4248.93	0	0	0	18	7	0.75	2340.5	11	0.2404602237	-6619.278266	-4984	Etalon	-604.5625513	291.5	Pre_Etalon	-0.752182512	-0.66	Etalon	0.2395526828	0.25	Pre_Base	1.6633119416	3.83	Pre_Base	-1.020469697	2	Pre_Etalon	-1	5	5	11	0.4192263936		0.5807736064	21APR2014:17:03:46.163882	2	Cluster11	11
01MAY2013:00:00:00	1-ET-1502	3.2	1	6	5	14095.5	14764.58	21	4	1.67	1	3	4698.5	4921.53	16	7	33	4	7896.77	7	6198.73	0	0	0	18	11	0.4	2819.1	10	0.1070978304	-6909.078154	-3354	Etalon	-1509.328573	-951.725	Etalon	0.4734833873	1.66	Pre_Base	0.0014568756	-0.15	Pre_Base	0.7567618909	2.2	Pre_Base	2.5186869973	9	Pre_Base	0	4	4	10	0.9152115514	0.0420584285	0.0427300201	22APR2014:19:14:49.783288	7	Cluster10	10
